Aeolian Natural Minor, Asavari Asc Nats. A to G	101101011010
Algerian	101101111001
Altered Pentatonic	110001010100
Balinese, Pelog 1	110100011000
Bhairubahar Thaat (India)	110011010101
Blues Enneatonic	101111110110
Blues Heptatonic	100101110110
Blues Minor Maj7	100101110001
Blues Modified	101101110010
Blues Octatonic	101101110110
Blues Pentatonic Minor, Hard Japan descending	100101010010
Blues with Leading Tone	100101110011
C minor add b5 chord	100100110000
Center-Cluster PentaMirror	100111001000
Chromatic Dorian	111001011100
Chromatic Dorian Inverse Raga None (India)	100111010011
Chromatic HeptaMirror #’s	111111100000
Chromatic Hypodorian Inverse	100111001110
Chromatic Hypolydian Inverse, Persian	110011101001
Chromatic Hypolydian, Puravi bVI	110010111001
Chromatic Hypophrygian Inverse	111001110100
Chromatic Lydian	110011100101
Chromatic Lydian Inverse, Todi bVI	110100111001
Chromatic Mixolydian	111010110010
Chromatic Mixolydian Inverse	101001110011
Chromatic NonaMirror	111111111000
Chromatic OctaMirror	111111110000
Chromatic PentaMirror	111110000000
Chromatic Permuted Diatonic Dorian	111011011101
Chromatic Phrygian	100111001011
Chromatic Phrygian Inverse	111010011100
Diminished Chord	100100100000
Do Re Mi	101010000000
Do Re Wholetone or Large Interval	101000000000
Dominant Pentatonic	101010010010
Dorian b5	101101100110
Dorian Pentatonic, Kumoi Japan	101100010100
Dorian Tetrachord	101101000000
Dorian, Kafi D to C asc. naturals	101101010110
Double-Phrygian Hexatonic	110101100100
Egyptian , Suspended Pentatonic	101001010010
Eskimo Hexatonic 2	101010101100
Eskimo Hexatonic 2 (North America)	101010101001
Eskimo Tetratonic	101010010000
Fifth Interval	100000010000
Fourth	100001000000
Genus Secundum	100011010101
Gypsy Hexatonic	110011011100
Half Diminished plus b8	100100100011
Half-Dimiished Bebop	110101111001
Han - kumoi (Japan)	101001011000
Harmonic Major 1, Ethiopian, Nat Bhairava	101011011001
Harmonic Major 2, Ionian #5	101011001101
Harmonic Minor	101101011001
Harmonic Minor Inverse or Bhairav	110011010110
Hawaiian	101100010101
Hirajoshi Japan	101100011000
Honchoshi Plagal Form	110101100010
Houzam (Greece) Raga Saildesakshi, Trishuli (India)	100111010101
Hungarian Folk or Byzantine Major Gypsy	110011011001
Hungarian Major Raga Nasamani (India)	100110110110
Hungarian Minor	101100111001
Hungarian Minor b2	111100111001
Ionian Pentatonic Raga Gambhiranata (India)	100011010001
Ionian, Major, Bilaval C to B asc. nats.	101011010101
Iwato Japan	110001100010
Japanese, Sakura Pentatonic Soft Descend	110001011000
Jazz Minor Inverse. Javanese, Dorian bII & HIndi	110101010110
Kiourdi (Greece)	101101111110
Kokin-Joshi, Soft Ascend Japan	110001010010
Kung	101010100100
Leading Whole-Tone	101010101011
Locrian - B to A Ascending naturals	110101101010
Locrian 2	101101101001
Locrian bb7	110101101100
Locrian Natural Maj 6, Pseudo Turkish	110101100110
Locrian PentaMirror	110101100000
Lydian #2 Raga Kuksumakaram	100110110101
Lydian Augmented, Hindi #IV & #V	101010101101
Lydian b3	101110110101
Lydian bVIIth, Overtone, Hindi #IV & bVII	101010110110
Lydian Dim b7	101110110110
Lydian Diminished	101100110101
Lydian Dominant + natural seventh	101010110111
Lydian Hexatonic	101010010101
Lydian Minor, Stravinski Raga Ratipriya (India)	101010111010
Lydian Pentachord	101010110000
Lydian, Kalyan F to E ascending naturals	101010110101
Major add 9 e.g. Ab add9	100100001010
Major add 9 e.g. Bb add9	101001000010
Major add 9 e.g. F add9	100001010100
Major b7 Chord e.g. D7	101000100100
Major b7 Chord e.g. F7	100101000100
Major Bebop	101011011101
Major Bebop Heptatonic Mela Mararanjani (India)	101011011100
Major Bebop Hexatonic	101010011100
Major Dominant b7 Chord e.g. Ab7	100100101000
Major Locrian	101011101010
Major Lydian Genus Diatonicum Veterum Correctum	101011110101
Major Minor, Hindu bVI & bVII	101011011010
Major Pentachord	101011010000
Major Pentatonic	101010010100
Major Sixth Interval	100000000100
Major Suspended 4th Chord	101001010000
Major Tetrachord	101011000000
Major Third Interval	100010000000
Major Triad e.g. Ab	100100001000
Major Triad e.g. C	100010010000
Major Triad e.g. F	100001000100
Maqam Hijaz	110011011011
Mela Bhavapriya (India)	110100111010
Mela Citrambari (India)	101010110011
Mela Dhatuvardhani (India)	100110111001
Mela Dhavalambari (India)	110010111100
Mela Divamani (India)	110100110011
Mela Gangeyabhusani (India)	100111011001
Mela Gavambohdi (India)	110100111100
Mela Hatakambari (India)	110011010011
Mela Jalarnava (India)	111000111010
Mela Jhalavarali (India)	111000111001
Mela Jhankaradhvani (India)	101101011100
Mela Jhotisvarupini (India)	100110111010
Mela Kantamani (India)	101010111100
Mela Manavati (India)	111001010101
Mela Nagananadini (India)	101011010011
Mela Namanararayani (India)	110010111010
Mela Navanitam (India)	111000110110
Mela Nitimati (India)	101100110011
Mela Pavani (India)	111000110101
Mela Ragavardhani (India)	100111011010
Mela Raghupriya (India)	111000110011
Mela Rasikapriya (India)	100110110011
Mela Ratnangi (India)	111001011010
Mela Rupavati (India)	110101010011
Mela Salaga (India)	111000111100
Mela Senavati (India)	110101011100
Mela Sucaritra (India)	100110111100
Mela Vanaspati (India)	111001010110
Mela Varunapriya (India)	101101010011
Mela Visvambhari (India)	110010110011
Mela Yagapriya (India)	100111011100
Messiaen 2 according to Brown	101101101011
Messiaen Mode 2	100101100101
Messiaen Truncated Mode 6	101000101000
Minor 6th Added	100101010100
Minor 7th e.g. Am7 = C6	100010010100
Minor 7th e.g. Dm7 = F6 Raga Bhavani (India)	101001000100
Minor Gypsy	101100111011
Minor Hexatonic	101101010010
Minor Locrian, Hindi 3 flats and bV	101101101010
Minor Melodic	101101010101
Minor Pentachord Chad Gadyo (Israel)	101101010000
Minor Triad e.g. Am Raga Bilwadala (India)	100010000100
Minor Triad e.g. Cm	100100010000
Minor Triad e.g. Fm	100001001000
Minor Trichord	101100000000
Mixolydian b5	101011100110
Mixolydian Hexatonic	101001010110
Mixolydian, Khamaj G to F ascend. nats	101011010110
Neapolitan Major	110101010101
Neapolitan Minor	110101011001
Oriental 1	110011100110
Oriental 2	110011100111
Oriental Raga Guhamanohari (India)	101001000110
Phrygian Dominant, Dorico Flamenco, Avaha Raba, Spanish Folk, Jewish Major	110011011010
Phrygian Hexatonic	100101011010
Phrygian Tetrachord	110101000000
Phrygian Trichord	110100000000
Prometheus Neapolitan	110010100110
Pyramid Hexatonic	101101100100
Raga Abhogi	101101000100
Raga Amarasenapriya (India)	101100110001
Raga Audva Tukhari (India)	101101001000
Raga Bagesri, Sriranjani, Kapijingla (India)	101101000110
Raga Bauli (India)	110010011001
Raga Bhanumanjari (India)	100111010010
Raga Bhatiyar (India)	110011110101
Raga Bhavani (India)	110100101010
Raga Bhinna Pancama (India)	101001011001
Raga Bhinna Shadja, Hindolita (India)	100011000101
Raga Bhupeshwari, Janasammodini (India)	101010011000
Raga Caturangini (India)	101010110001
Raga Chandrajyoti (India)	111000110100
Raga Chandrakauns Kafi, Surya (India)	100101000110
Raga Chandrakauns Kiravani (India)	100101001001
Raga Chandrakauns Modern (India)	100101000101
Raga Chhaya Todi (India)	110100101000
Raga Chitthakarshini (India)	110101001000
Raga Cintamani (India)	101100111110
Raga Desh	101001010001
Raga Deshgaur (India)	110000011001
Raga Dhavalangam (India)	110010111000
Raga Dhavalashri (India)	100010110100
Raga Dipak (India)	101011110000
Raga Gandharavam	110101010010
Raga Gaula (India)	110011010001
Raga Gauri (India)	110001010001
Raga Ghantana (India)	101101001001
Raga Gujari Todi (India)	110100101001
Raga Hamsa Vinodini (India)	101011000101
Raga Hamsadhvani (India)	101010010001
Raga Hamsanandi, Puriya (India)	110010100101
Raga Haripriya (India)	101001001000
Raga Hejjajji (India)	110010101100
Raga Hindol (India)	100010100101
Raga Indupriya (India)	110010110010
Raga Jaganmohanam (India)	101000111010
Raga Jayakauns (india)	100101100010
Raga Jivantika (India)	110001010101
Raga Jyoti (India)	100010111010
Raga Kalagada (India)	110010011010
Raga Kalakanthi (India)	110001011100
Raga Kalavati, Ragamalini (India)	110011010100
Raga Kamalamanohari (India)	100011011010
Raga Khamaji Durga (India)	100011000110
Raga Khamas, Baduhari (India)	100011010110
Raga Kokil Pancham (India)	100101011000
Raga Kshanika (India)	110001001001
Raga Kumarapriya (India)	111000001001
Raga Kumurdaki (India)	101010100001
Raga Latika	101010011001
Raga Lavangi(India)	110001001000
Raga Malahari (India)	110011011000
Raga Malarani (India)	101000110011
Raga Malayamarutam (India)	110010010110
Raga Mamata (India) Major 6th	100010010101
Raga Manaranjani (India) - C7(b9)	110010010010
Raga Manavi (India)	101100010110
Raga Mand (India)	100011010100
Raga Mandari, Gamakakriya (India)	110010110001
Raga Manohari (India)	100101010110
Raga Matha Kokila (India)	101000010110
Raga Megh (India) (same as Raga Megh 11/56891011/2 in 12edo)	101001010011
Raga Megharanjani (India)	110011001000
Raga Megharanji (India)	110011000001
Raga Mrunganandana (India)	101010100101
Raga Nabhomani (India)	111000110000
