Acoustic	101010110110
Aeolian Harmonic	100110110101
Aeolian, Natural Minor	101101011010
Algerian	101101111001
Altered Pentatonic	110001010100
Balinese, Pelog 1	110100011000
Bebop Aeolian (Harmonic Minor)	101101011011
Bebop Dorian	101101010111
Bebop Dorian (from ianring)	101111010110
Bebop Half-Diminished	110101111010
Bebop Locrian	110101101011
Bebop Locrian (from ianring)	110110111010
Bebop Major	101011011101
Bebop Minor	101111010101
Bebop Mixolydian (Dominant)	101011010111
Bebop Phrygian	110101011011
Bhairubahar Thaat	110011010101
Blues	100101110010
Blues Enneatonic	101111110110
Blues Heptatonic	100101110110
Blues Minor Maj7	100101110001
Blues Modified	101101110010
Blues Octatonic	101101110110
Blues with Leading Tone	100101110011
Center-Cluster PentaMirror	100111001000
Chromatic	111111111111
Chromatic Dorian	111001011100
Chromatic Dorian Inverse	100111010011
Chromatic Hypodorian Inverse	100111001110
Chromatic Hypolydian Inverse, Persian	110011101001
Chromatic Hypolydian, Puravi bVI	110010111001
Chromatic Hypophrygian Inverse	111001110100
Chromatic Lydian	110011100101
Chromatic Lydian Inverse, Todi bVI	110100111001
Chromatic Mixolydian	111010110010
Chromatic Mixolydian Inverse	101001110011
Chromatic Permuted Diatonic Dorian	111011011101
Chromatic Phrygian	100111001011
Chromatic Phrygian Inverse	111010011100
Diminished	101101101101
Diminished Seventh	100100100100
Dominant Pentatonic	101010010010
Dorian	101101010110
Dorian b5	101101100110
Dorian Pentatonic, Kumoi Japan	101100010100
Double Harmonic Major, Byzantine, Flamenco, Gypsy Major, Arabic	110011011001
Double Harmonic Minor, Hungarian Minor, Gypsy, Algerian	101100111001
Double-Phrygian Hexatonic	110101100100
Egyptian, Suspended Pentatonic	101001010010
Enigmatic	110010101011
Eskimo Hexatonic 2	101010101100
Eskimo Hexatonic 2 (North America)	101010101001
Genus Secundum	100011010101
Gypsy Hexatonic	110011011100
Half Diminished plus b8	100100100011
Half diminished, Minor Locrian	101101101010
Han - kumoi	101001011000
Harmonic Major	101011011001
Harmonic Minor	101101011001
Harmonic Minor Inverse or Bhairav	110011010110
Hawaiian	101100010101
Hirajoshi Japan	101100011000
Hirajoshi, Lydian Pentatonic	100010110001
Honchoshi Plagal Form	110101100010
Houzam (Greece) Raga Saildesakshi, Trishuli	100111010101
Hungarian Major	100110110110
Hungarian Minor b2	111100111001
In, Sakura Pentatonic	110001011000
Insen, Kokin-Joshi	110001010010
Ionian Augmented, Harmonic Major	101011001101
Ionian Pentatonic Raga Gambhiranata	100011010001
Istrian	110110101000
Iwato	110001100010
Jazz Minor Inverse. Javanese, Dorian bII & HIndi	110101010110
Kiourdi (Greece)	101101111110
Kung	101010100100
Leading Whole-Tone	101010101011
Locrian	110101101010
Locrian 2	101101101001
Locrian bb7	110101101100
Locrian natural 6	110101100110
Lydian	101010110101
Lydian Augmented	101010101101
Lydian b3	101110110101
Lydian Dim b7	101110110110
Lydian Diminished, Pfluke	101100110101
Lydian Dominant + natural seventh	101010110111
Lydian Hexatonic	101010010101
Lydian Minor	101010111010
Major (Ionian)	101011010101
Major Augmented	100110011001
Major b7 Chord e.g. D7	101000100100
Major Locrian	101011101010
Major Lydian Genus Diatonicum Veterum Correctum	101011110101
Major Minor, Hindu bVI & bVII	101011011010
Major Pentatonic	101010010100
Maqam Hijaz	110011011011
Melodic Minor (ascending)	101101010101
Messiaen 2 according to Brown	101101101011
Messiaen Mode 2	100101100101
Messiaen mode 3 inverse	101110111011
Messiaen mode 4	111001111001
Messiaen Mode 5	110001110001
Messiaen mode 6 inverse	101011101011
Messiaen mode 7	111101111101
Messiaen Truncated Mode 6	101000101000
Minor Gypsy	101100111011
Minor Hexatonic	101101010010
Minor Pentatonic	100101010010
Minor Romani, Gypsy	101100111010
Mixolydian	101011010110
Mixolydian b5	101011100110
Mixolydian Hexatonic	101001010110
Neapolitan Major	110101010101
Neapolitan Minor	110101011001
Octatonic	110110110110
Oriental 1	110011100110
Oriental 2	110011100111
Oriental Raga Guhamanohari	101001000110
Phrygian	110101011010
Phrygian Dominant, Dorico Flamenco, Avaha Raba, Spanish Folk, Jewish Major	110011011010
Phrygian Hexatonic	100101011010
Prometheus Neapolitan	110010100110
Prometheus, Scriabin	101010100110
Pyramid Hexatonic	101101100100
Ritsu	110101001010
Romanian Major, Purvi bVII	110010110110
Scottish Hexatonic Arezzo Major Diatonic Hexachord	101011010100
Superlocrian, Altered	110110101010
Symmetrical Decatonic	111011111011
Tritone / Raga Indupriya	110010110010
Ukrainian Dorian, Altered Dorian	101100110110
Ultralocrian	110110101100
Whole-tone	101010101010
Yo	101001010100
Zirafkend	101101011101
